GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admission
318.000,109.000,3.000,3.500,4.000,9.220,1.000,0.680
328.000,115.000,4.000,4.500,4.000,9.160,1.000,0.780
332.000,118.000,5.000,5.000,5.000,9.640,1.000,0.940
336.000,112.000,5.000,5.000,5.000,9.760,1.000,0.960
321.000,111.000,5.000,5.000,5.000,9.450,1.000,0.930
314.000,108.000,4.000,4.500,4.000,9.040,1.000,0.840
314.000,106.000,3.000,3.000,5.000,8.900,0.000,0.740
329.000,114.000,2.000,2.000,4.000,8.560,1.000,0.720
327.000,112.000,3.000,3.000,3.000,8.720,1.000,0.740
301.000,99.000,2.000,3.000,2.000,8.220,0.000,0.640
296.000,95.000,2.000,3.000,2.000,7.540,1.000,0.440
294.000,93.000,1.000,1.500,2.000,7.360,0.000,0.460
312.000,105.000,3.000,2.000,3.000,8.020,1.000,0.500
340.000,120.000,4.000,5.000,5.000,9.500,1.000,0.960
320.000,110.000,5.000,5.000,4.500,9.220,1.000,0.920
322.000,115.000,5.000,4.000,4.500,9.360,1.000,0.920
340.000,115.000,5.000,4.500,4.500,9.450,1.000,0.940
319.000,103.000,4.000,4.500,3.500,8.660,0.000,0.760
315.000,106.000,3.000,4.500,3.500,8.420,0.000,0.720
317.000,107.000,2.000,3.500,3.000,8.280,0.000,0.660
314.000,108.000,3.000,4.500,3.500,8.140,0.000,0.640
316.000,109.000,4.000,4.500,3.500,8.760,1.000,0.740
318.000,106.000,2.000,4.000,4.000,7.920,1.000,0.640
299.000,97.000,3.000,5.000,3.500,7.660,0.000,0.380
298.000,98.000,2.000,4.000,3.000,8.030,0.000,0.340
301.000,97.000,2.000,3.000,3.000,7.880,1.000,0.440
303.000,99.000,3.000,2.000,2.500,7.660,0.000,0.360
304.000,100.000,4.000,1.500,2.500,7.840,0.000,0.420
306.000,100.000,2.000,3.000,3.000,8.000,0.000,0.480
331.000,120.000,3.000,4.000,4.000,8.960,1.000,0.860
332.000,119.000,4.000,5.000,4.500,9.240,1.000,0.900
323.000,113.000,3.000,4.000,4.000,8.880,1.000,0.790
322.000,107.000,3.000,3.500,3.500,8.460,1.000,0.710
312.000,105.000,2.000,2.500,3.000,8.120,0.000,0.640
314.000,106.000,2.000,4.000,3.500,8.250,0.000,0.620
317.000,104.000,2.000,4.500,4.000,8.470,0.000,0.570
326.000,112.000,3.000,3.500,3.000,9.050,1.000,0.740
316.000,110.000,3.000,4.000,4.500,8.780,1.000,0.690
329.000,111.000,4.000,4.500,4.500,9.180,1.000,0.870
338.000,117.000,4.000,3.500,4.500,9.460,1.000,0.910
331.000,116.000,5.000,5.000,5.000,9.380,1.000,0.930
304.000,103.000,5.000,5.000,4.000,8.640,0.000,0.680
305.000,108.000,5.000,3.000,3.000,8.480,0.000,0.610
321.000,109.000,4.000,4.000,4.000,8.680,1.000,0.690
301.000,107.000,3.000,3.500,3.500,8.340,1.000,0.620
320.000,110.000,2.000,4.000,3.500,8.560,0.000,0.720
311.000,105.000,3.000,3.500,3.000,8.450,1.000,0.590
310.000,106.000,4.000,4.500,4.500,9.040,1.000,0.660
299.000,102.000,3.000,4.000,3.500,8.620,0.000,0.560
290.000,104.000,4.000,2.000,2.500,7.460,0.000,0.450
296.000,99.000,2.000,3.000,3.500,7.280,0.000,0.470
327.000,104.000,5.000,3.000,3.500,8.840,1.000,0.710
335.000,117.000,5.000,5.000,5.000,9.560,1.000,0.940
334.000,119.000,5.000,4.500,4.500,9.480,1.000,0.940
310.000,106.000,4.000,1.500,2.500,8.360,0.000,0.570
308.000,108.000,3.000,3.500,3.500,8.220,0.000,0.610
301.000,106.000,4.000,2.500,3.000,8.470,0.000,0.570
300.000,100.000,3.000,2.000,3.000,8.660,1.000,0.640
323.000,113.000,3.000,4.000,3.000,9.320,1.000,0.850
319.000,112.000,3.000,2.500,2.000,8.710,1.000,0.780
326.000,112.000,3.000,3.500,3.000,9.100,1.000,0.840
333.000,118.000,5.000,5.000,5.000,9.350,1.000,0.920
339.000,114.000,5.000,4.000,4.500,9.760,1.000,0.960
303.000,105.000,5.000,5.000,4.500,8.650,0.000,0.770
309.000,105.000,5.000,3.500,3.500,8.560,0.000,0.710
323.000,112.000,5.000,4.000,4.500,8.780,0.000,0.790
333.000,113.000,5.000,4.000,4.000,9.280,1.000,0.890
314.000,109.000,4.000,3.500,4.000,8.770,1.000,0.820
312.000,103.000,3.000,5.000,4.000,8.450,0.000,0.760
316.000,100.000,2.000,1.500,3.000,8.160,1.000,0.710
326.000,116.000,2.000,4.500,3.000,9.080,1.000,0.800
318.000,109.000,1.000,3.500,3.500,9.120,0.000,0.780
329.000,110.000,2.000,4.000,3.000,9.150,1.000,0.840
332.000,118.000,2.000,4.500,3.500,9.360,1.000,0.900
331.000,115.000,5.000,4.000,3.500,9.440,1.000,0.920
340.000,120.000,4.000,4.500,4.000,9.920,1.000,0.970
325.000,112.000,2.000,3.000,3.500,8.960,1.000,0.800
320.000,113.000,2.000,2.000,2.500,8.640,1.000,0.810
315.000,105.000,3.000,2.000,2.500,8.480,0.000,0.750
326.000,114.000,3.000,3.000,3.000,9.110,1.000,0.830
339.000,116.000,4.000,4.000,3.500,9.800,1.000,0.960
311.000,106.000,2.000,3.500,3.000,8.260,1.000,0.790
334.000,114.000,4.000,4.000,4.000,9.430,1.000,0.930
332.000,116.000,5.000,5.000,5.000,9.280,1.000,0.940
321.000,112.000,5.000,5.000,5.000,9.060,1.000,0.860
324.000,105.000,3.000,3.000,4.000,8.750,0.000,0.790
326.000,108.000,3.000,3.000,3.500,8.890,0.000,0.800
312.000,109.000,3.000,3.000,3.000,8.690,0.000,0.770
315.000,105.000,3.000,2.000,2.500,8.340,0.000,0.700
309.000,104.000,2.000,2.000,2.500,8.260,0.000,0.650
306.000,106.000,2.000,2.000,2.500,8.140,0.000,0.610
297.000,100.000,1.000,1.500,2.000,7.900,0.000,0.520
315.000,103.000,1.000,1.500,2.000,7.860,0.000,0.570
298.000,99.000,1.000,1.500,3.000,7.460,0.000,0.530
318.000,109.000,3.000,3.000,3.000,8.500,0.000,0.670
317.000,105.000,3.000,3.500,3.000,8.560,0.000,0.680
329.000,111.000,4.000,4.500,4.000,9.010,1.000,0.810
322.000,110.000,5.000,4.500,4.000,8.970,0.000,0.780
302.000,102.000,3.000,3.500,5.000,8.330,0.000,0.650
313.000,102.000,3.000,2.000,3.000,8.270,0.000,0.640
293.000,97.000,2.000,2.000,4.000,7.800,1.000,0.640
311.000,99.000,2.000,2.500,3.000,7.980,0.000,0.650
312.000,101.000,2.000,2.500,3.500,8.040,1.000,0.680
334.000,117.000,5.000,4.000,4.500,9.070,1.000,0.890
322.000,110.000,4.000,4.000,5.000,9.130,1.000,0.860
323.000,113.000,4.000,4.000,4.500,9.230,1.000,0.890
321.000,111.000,4.000,4.000,4.000,8.970,1.000,0.870
320.000,111.000,4.000,4.500,3.500,8.870,1.000,0.850
329.000,119.000,4.000,4.500,4.500,9.160,1.000,0.900
319.000,110.000,3.000,3.500,3.500,9.040,0.000,0.820
309.000,108.000,3.000,2.500,3.000,8.120,0.000,0.720
307.000,102.000,3.000,3.000,3.000,8.270,0.000,0.730
300.000,104.000,3.000,3.500,3.000,8.160,0.000,0.710
305.000,107.000,2.000,2.500,2.500,8.420,0.000,0.710
299.000,100.000,2.000,3.000,3.500,7.880,0.000,0.680
314.000,110.000,3.000,4.000,4.000,8.800,0.000,0.750
316.000,106.000,2.000,2.500,4.000,8.320,0.000,0.720
327.000,113.000,4.000,4.500,4.500,9.110,1.000,0.890
317.000,107.000,3.000,3.500,3.000,8.680,1.000,0.840
335.000,118.000,5.000,4.500,3.500,9.440,1.000,0.930
331.000,115.000,5.000,4.500,3.500,9.360,1.000,0.930
324.000,112.000,5.000,5.000,5.000,9.080,1.000,0.880
324.000,111.000,5.000,4.500,4.000,9.160,1.000,0.900
323.000,110.000,5.000,4.000,5.000,8.980,1.000,0.870
322.000,114.000,5.000,4.500,4.000,8.940,1.000,0.860
336.000,118.000,5.000,4.500,5.000,9.530,1.000,0.940
316.000,109.000,3.000,3.500,3.000,8.760,0.000,0.770
307.000,107.000,2.000,3.000,3.500,8.520,1.000,0.780
306.000,105.000,2.000,3.000,2.500,8.260,0.000,0.730
310.000,106.000,2.000,3.500,2.500,8.330,0.000,0.730
311.000,104.000,3.000,4.500,4.500,8.430,0.000,0.700
313.000,107.000,3.000,4.000,4.500,8.690,0.000,0.720
317.000,103.000,3.000,2.500,3.000,8.540,1.000,0.730
315.000,110.000,2.000,3.500,3.000,8.460,1.000,0.720
340.000,120.000,5.000,4.500,4.500,9.910,1.000,0.970
334.000,120.000,5.000,4.000,5.000,9.870,1.000,0.970
298.000,105.000,3.000,3.500,4.000,8.540,0.000,0.690
295.000,99.000,2.000,2.500,3.000,7.650,0.000,0.570
315.000,99.000,2.000,3.500,3.000,7.890,0.000,0.630
310.000,102.000,3.000,3.500,4.000,8.020,1.000,0.660
305.000,106.000,2.000,3.000,3.000,8.160,0.000,0.640
301.000,104.000,3.000,3.500,4.000,8.120,1.000,0.680
325.000,108.000,4.000,4.500,4.000,9.060,1.000,0.790
328.000,110.000,4.000,5.000,4.000,9.140,1.000,0.820
338.000,120.000,4.000,5.000,5.000,9.660,1.000,0.950
333.000,119.000,5.000,5.000,4.500,9.780,1.000,0.960
331.000,117.000,4.000,4.500,5.000,9.420,1.000,0.940
330.000,116.000,5.000,5.000,4.500,9.360,1.000,0.930
322.000,112.000,4.000,4.500,4.500,9.260,1.000,0.910
321.000,109.000,4.000,4.000,4.000,9.130,1.000,0.850
324.000,110.000,4.000,3.000,3.500,8.970,1.000,0.840
312.000,104.000,3.000,3.500,3.500,8.420,0.000,0.740
313.000,103.000,3.000,4.000,4.000,8.750,0.000,0.760
316.000,110.000,3.000,3.500,4.000,8.560,0.000,0.750
324.000,113.000,4.000,4.500,4.000,8.790,0.000,0.760
308.000,109.000,2.000,3.000,4.000,8.450,0.000,0.710
305.000,105.000,2.000,3.000,2.000,8.230,0.000,0.670
296.000,99.000,2.000,2.500,2.500,8.030,0.000,0.610
306.000,110.000,2.000,3.500,4.000,8.450,0.000,0.630
312.000,110.000,2.000,3.500,3.000,8.530,0.000,0.640
318.000,112.000,3.000,4.000,3.500,8.670,0.000,0.710
324.000,111.000,4.000,3.000,3.000,9.010,1.000,0.820
313.000,104.000,3.000,4.000,4.500,8.650,0.000,0.730
319.000,106.000,3.000,3.500,2.500,8.330,1.000,0.740
312.000,107.000,2.000,2.500,3.500,8.270,0.000,0.690
304.000,100.000,2.000,2.500,3.500,8.070,0.000,0.640
330.000,113.000,5.000,5.000,4.000,9.310,1.000,0.910
326.000,111.000,5.000,4.500,4.000,9.230,1.000,0.880
325.000,112.000,4.000,4.000,4.500,9.170,1.000,0.850
329.000,114.000,5.000,4.500,5.000,9.190,1.000,0.860
310.000,104.000,3.000,2.000,3.500,8.370,0.000,0.700
299.000,100.000,1.000,1.500,2.000,7.890,0.000,0.590
296.000,101.000,1.000,2.500,3.000,7.680,0.000,0.600
317.000,103.000,2.000,2.500,2.000,8.150,0.000,0.650
324.000,115.000,3.000,3.500,3.000,8.760,1.000,0.700
325.000,114.000,3.000,3.500,3.000,9.040,1.000,0.760
314.000,107.000,2.000,2.500,4.000,8.560,0.000,0.630
328.000,110.000,4.000,4.000,2.500,9.020,1.000,0.810
316.000,105.000,3.000,3.000,3.500,8.730,0.000,0.720
311.000,104.000,2.000,2.500,3.500,8.480,0.000,0.710
324.000,110.000,3.000,3.500,4.000,8.870,1.000,0.800
321.000,111.000,3.000,3.500,4.000,8.830,1.000,0.770
320.000,104.000,3.000,3.000,2.500,8.570,1.000,0.740
316.000,99.000,2.000,2.500,3.000,9.000,0.000,0.700
318.000,100.000,2.000,2.500,3.500,8.540,1.000,0.710
335.000,115.000,4.000,4.500,4.500,9.680,1.000,0.930
321.000,114.000,4.000,4.000,5.000,9.120,0.000,0.850
307.000,110.000,4.000,4.000,4.500,8.370,0.000,0.790
309.000,99.000,3.000,4.000,4.000,8.560,0.000,0.760
324.000,100.000,3.000,4.000,5.000,8.640,1.000,0.780
326.000,102.000,4.000,5.000,5.000,8.760,1.000,0.770
331.000,119.000,4.000,5.000,4.500,9.340,1.000,0.900
327.000,108.000,5.000,5.000,3.500,9.130,1.000,0.870
312.000,104.000,3.000,3.500,4.000,8.090,0.000,0.710
308.000,103.000,2.000,2.500,4.000,8.360,1.000,0.700
324.000,111.000,3.000,2.500,1.500,8.790,1.000,0.700
325.000,110.000,2.000,3.000,2.500,8.760,1.000,0.750
313.000,102.000,3.000,2.500,2.500,8.680,0.000,0.710
312.000,105.000,2.000,2.000,2.500,8.450,0.000,0.720
314.000,107.000,3.000,3.000,3.500,8.170,1.000,0.730
327.000,113.000,4.000,4.500,5.000,9.140,0.000,0.830
308.000,108.000,4.000,4.500,5.000,8.340,0.000,0.770
306.000,105.000,2.000,2.500,3.000,8.220,1.000,0.720
299.000,96.000,2.000,1.500,2.000,7.860,0.000,0.540
294.000,95.000,1.000,1.500,1.500,7.640,0.000,0.490
312.000,99.000,1.000,1.000,1.500,8.010,1.000,0.520
315.000,100.000,1.000,2.000,2.500,7.950,0.000,0.580
322.000,110.000,3.000,3.500,3.000,8.960,1.000,0.780
329.000,113.000,5.000,5.000,4.500,9.450,1.000,0.890
320.000,101.000,2.000,2.500,3.000,8.620,0.000,0.700
308.000,103.000,2.000,3.000,3.500,8.490,0.000,0.660
304.000,102.000,2.000,3.000,4.000,8.730,0.000,0.670
311.000,102.000,3.000,4.500,4.000,8.640,1.000,0.680
317.000,110.000,3.000,4.000,4.500,9.110,1.000,0.800
312.000,106.000,3.000,4.000,3.500,8.790,1.000,0.810
321.000,111.000,3.000,2.500,3.000,8.900,1.000,0.800
340.000,112.000,4.000,5.000,4.500,9.660,1.000,0.940
331.000,116.000,5.000,4.000,4.000,9.260,1.000,0.930
336.000,118.000,5.000,4.500,4.000,9.190,1.000,0.920
324.000,114.000,5.000,5.000,4.500,9.080,1.000,0.890
314.000,104.000,4.000,5.000,5.000,9.020,0.000,0.820
313.000,109.000,3.000,4.000,3.500,9.000,0.000,0.790
307.000,105.000,2.000,2.500,3.000,7.650,0.000,0.580
300.000,102.000,2.000,1.500,2.000,7.870,0.000,0.560
302.000,99.000,2.000,1.000,2.000,7.970,0.000,0.560
312.000,98.000,1.000,3.500,3.000,8.180,1.000,0.640
316.000,101.000,2.000,2.500,2.000,8.320,1.000,0.610
317.000,100.000,2.000,3.000,2.500,8.570,0.000,0.680
310.000,107.000,3.000,3.500,3.500,8.670,0.000,0.760
320.000,120.000,3.000,4.000,4.500,9.110,0.000,0.860
330.000,114.000,3.000,4.500,4.500,9.240,1.000,0.900
305.000,112.000,3.000,3.000,3.500,8.650,0.000,0.710
309.000,106.000,2.000,2.500,2.500,8.000,0.000,0.620
319.000,108.000,2.000,2.500,3.000,8.760,0.000,0.660
322.000,105.000,2.000,3.000,3.000,8.450,1.000,0.650
323.000,107.000,3.000,3.500,3.500,8.550,1.000,0.730
313.000,106.000,2.000,2.500,2.000,8.430,0.000,0.620
321.000,109.000,3.000,3.500,3.500,8.800,1.000,0.740
323.000,110.000,3.000,4.000,3.500,9.100,1.000,0.790
325.000,112.000,4.000,4.000,4.000,9.000,1.000,0.800
312.000,108.000,3.000,3.500,3.000,8.530,0.000,0.690
308.000,110.000,4.000,3.500,3.000,8.600,0.000,0.700
320.000,104.000,3.000,3.000,3.500,8.740,1.000,0.760
328.000,108.000,4.000,4.500,4.000,9.180,1.000,0.840
311.000,107.000,4.000,4.500,4.500,9.000,1.000,0.780
301.000,100.000,3.000,3.500,3.000,8.040,0.000,0.670
305.000,105.000,2.000,3.000,4.000,8.130,0.000,0.660
308.000,104.000,2.000,2.500,3.000,8.070,0.000,0.650
298.000,101.000,2.000,1.500,2.000,7.860,0.000,0.540
300.000,99.000,1.000,1.000,2.500,8.010,0.000,0.580
324.000,111.000,3.000,2.500,2.000,8.800,1.000,0.790
327.000,113.000,4.000,3.500,3.000,8.690,1.000,0.800
317.000,106.000,3.000,4.000,3.500,8.500,1.000,0.750
323.000,104.000,3.000,4.000,4.000,8.440,1.000,0.730
314.000,107.000,2.000,2.500,4.000,8.270,0.000,0.720
305.000,102.000,2.000,2.000,2.500,8.180,0.000,0.620
315.000,104.000,3.000,3.000,2.500,8.330,0.000,0.670
326.000,116.000,3.000,3.500,4.000,9.140,1.000,0.810
299.000,100.000,3.000,2.000,2.000,8.020,0.000,0.630
295.000,101.000,2.000,2.500,2.000,7.860,0.000,0.690
324.000,112.000,4.000,4.000,3.500,8.770,1.000,0.800
297.000,96.000,2.000,2.500,1.500,7.890,0.000,0.430
327.000,113.000,3.000,3.500,3.000,8.660,1.000,0.800
311.000,105.000,2.000,3.000,2.000,8.120,1.000,0.730
308.000,106.000,3.000,3.500,2.500,8.210,1.000,0.750
319.000,108.000,3.000,3.000,3.500,8.540,1.000,0.710
312.000,107.000,4.000,4.500,4.000,8.650,1.000,0.730
325.000,111.000,4.000,4.000,4.500,9.110,1.000,0.830
319.000,110.000,3.000,3.000,2.500,8.790,0.000,0.720
332.000,118.000,5.000,5.000,5.000,9.470,1.000,0.940
323.000,108.000,5.000,4.000,4.000,8.740,1.000,0.810
324.000,107.000,5.000,3.500,4.000,8.660,1.000,0.810
312.000,107.000,3.000,3.000,3.000,8.460,1.000,0.750
326.000,110.000,3.000,3.500,3.500,8.760,1.000,0.790
308.000,106.000,3.000,3.000,3.000,8.240,0.000,0.580
305.000,103.000,2.000,2.500,3.500,8.130,0.000,0.590
295.000,96.000,2.000,1.500,2.000,7.340,0.000,0.470
316.000,98.000,1.000,1.500,2.000,7.430,0.000,0.490
304.000,97.000,2.000,1.500,2.000,7.640,0.000,0.470
299.000,94.000,1.000,1.000,1.000,7.340,0.000,0.420
302.000,99.000,1.000,2.000,2.000,7.250,0.000,0.570
313.000,101.000,3.000,2.500,3.000,8.040,0.000,0.620
318.000,107.000,3.000,3.000,3.500,8.270,1.000,0.740
325.000,110.000,4.000,3.500,4.000,8.670,1.000,0.730
303.000,100.000,2.000,3.000,3.500,8.060,1.000,0.640
300.000,102.000,3.000,3.500,2.500,8.170,0.000,0.630
297.000,98.000,2.000,2.500,3.000,7.670,0.000,0.590
317.000,106.000,2.000,2.000,3.500,8.120,0.000,0.730
327.000,109.000,3.000,3.500,4.000,8.770,1.000,0.790
301.000,104.000,2.000,3.500,3.500,7.890,1.000,0.680
314.000,105.000,2.000,2.500,2.000,7.640,0.000,0.700
321.000,107.000,2.000,2.000,1.500,8.440,0.000,0.810
322.000,110.000,3.000,4.000,5.000,8.640,1.000,0.850
334.000,116.000,4.000,4.000,3.500,9.540,1.000,0.930
338.000,115.000,5.000,4.500,5.000,9.230,1.000,0.910
306.000,103.000,2.000,2.500,3.000,8.360,0.000,0.690
313.000,102.000,3.000,3.500,4.000,8.900,1.000,0.770
330.000,114.000,4.000,4.500,3.000,9.170,1.000,0.860
320.000,104.000,3.000,3.500,4.500,8.340,1.000,0.740
311.000,98.000,1.000,1.000,2.500,7.460,0.000,0.570
298.000,92.000,1.000,2.000,2.000,7.880,0.000,0.510
301.000,98.000,1.000,2.000,3.000,8.030,1.000,0.670
310.000,103.000,2.000,2.500,2.500,8.240,0.000,0.720
324.000,110.000,3.000,3.500,3.000,9.220,1.000,0.890
336.000,119.000,4.000,4.500,4.000,9.620,1.000,0.950
321.000,109.000,3.000,3.000,3.000,8.540,1.000,0.790
315.000,105.000,2.000,2.000,2.500,7.650,0.000,0.390
304.000,101.000,2.000,2.000,2.500,7.660,0.000,0.380
297.000,96.000,2.000,2.500,2.000,7.430,0.000,0.340
290.000,100.000,1.000,1.500,2.000,7.560,0.000,0.470
303.000,98.000,1.000,2.000,2.500,7.650,0.000,0.560
311.000,99.000,1.000,2.500,3.000,8.430,1.000,0.710
322.000,104.000,3.000,3.500,4.000,8.840,1.000,0.780
319.000,105.000,3.000,3.000,3.500,8.670,1.000,0.730
324.000,110.000,4.000,4.500,4.000,9.150,1.000,0.820
300.000,100.000,3.000,3.000,3.500,8.260,0.000,0.620
340.000,113.000,4.000,5.000,5.000,9.740,1.000,0.960
335.000,117.000,5.000,5.000,5.000,9.820,1.000,0.960
302.000,101.000,2.000,2.500,3.500,7.960,0.000,0.460
307.000,105.000,2.000,2.000,3.500,8.100,0.000,0.530
296.000,97.000,2.000,1.500,2.000,7.800,0.000,0.490
320.000,108.000,3.000,3.500,4.000,8.440,1.000,0.760
314.000,102.000,2.000,2.000,2.500,8.240,0.000,0.640
318.000,106.000,3.000,2.000,3.000,8.650,0.000,0.710
326.000,112.000,4.000,4.000,3.500,9.120,1.000,0.840
317.000,104.000,2.000,3.000,3.000,8.760,0.000,0.770
329.000,111.000,4.000,4.500,4.000,9.230,1.000,0.890
324.000,110.000,3.000,3.500,3.500,9.040,1.000,0.820
325.000,107.000,3.000,3.000,3.500,9.110,1.000,0.840
330.000,116.000,4.000,5.000,4.500,9.450,1.000,0.910
312.000,103.000,3.000,3.500,4.000,8.780,0.000,0.670
333.000,117.000,4.000,5.000,4.000,9.660,1.000,0.950
304.000,100.000,2.000,3.500,3.000,8.220,0.000,0.630
315.000,105.000,2.000,3.000,3.000,8.340,0.000,0.660
324.000,109.000,3.000,3.500,3.000,8.940,1.000,0.780
330.000,116.000,4.000,4.000,3.500,9.230,1.000,0.910
311.000,101.000,3.000,2.000,2.500,7.640,1.000,0.620
302.000,99.000,3.000,2.500,3.000,7.450,0.000,0.520
322.000,103.000,4.000,3.000,2.500,8.020,1.000,0.610
298.000,100.000,3.000,2.500,4.000,7.950,1.000,0.580
297.000,101.000,3.000,2.000,4.000,7.670,1.000,0.570
300.000,98.000,1.000,2.000,2.500,8.020,0.000,0.610
301.000,96.000,1.000,3.000,4.000,7.560,0.000,0.540
313.000,94.000,2.000,2.500,1.500,8.130,0.000,0.560
314.000,102.000,4.000,2.500,2.000,7.880,1.000,0.590
317.000,101.000,3.000,3.000,2.000,7.940,1.000,0.490
321.000,110.000,4.000,3.500,4.000,8.350,1.000,0.720
327.000,106.000,4.000,4.000,4.500,8.750,1.000,0.760
315.000,104.000,3.000,4.000,2.500,8.100,0.000,0.650
316.000,103.000,3.000,3.500,2.000,7.680,0.000,0.520
309.000,111.000,2.000,2.500,4.000,8.030,0.000,0.600
308.000,102.000,2.000,2.000,3.500,7.980,1.000,0.580
299.000,100.000,3.000,2.000,3.000,7.420,0.000,0.420
321.000,112.000,3.000,3.000,4.500,8.950,1.000,0.770
322.000,112.000,4.000,3.500,2.500,9.020,1.000,0.730
334.000,119.000,5.000,4.500,5.000,9.540,1.000,0.940
325.000,114.000,5.000,4.000,5.000,9.460,1.000,0.910
323.000,111.000,5.000,4.000,5.000,9.860,1.000,0.920
312.000,106.000,3.000,3.000,5.000,8.570,0.000,0.710
310.000,101.000,3.000,3.500,5.000,8.650,1.000,0.710
316.000,103.000,2.000,2.000,4.500,8.740,0.000,0.690
340.000,115.000,5.000,5.000,4.500,9.060,1.000,0.950
311.000,104.000,3.000,4.000,3.500,8.130,1.000,0.740
320.000,112.000,2.000,3.500,3.500,8.780,1.000,0.730
324.000,112.000,4.000,4.500,4.000,9.220,1.000,0.860
316.000,111.000,4.000,4.000,5.000,8.540,0.000,0.710
